TrialIndex,Subject,Congruence,ResponseTime,Correct
224,1,2,585,1
225,1,2,436,1
226,1,2,485,1
227,1,2,517,1
228,1,2,507,1
229,1,1,513,1
230,1,2,624,1
231,1,1,466,1
232,1,1,466,1
233,1,1,410,1
234,1,1,580,1
235,1,2,567,1
236,1,1,443,1
237,1,2,571,1
238,1,2,623,1
239,1,1,521,1
240,1,2,583,0
241,1,1,431,1
242,1,2,520,1
243,1,1,558,1
244,1,2,451,0
245,1,1,368,1
246,1,2,516,1
247,1,1,554,1
248,1,1,487,1
249,1,2,534,1
250,1,1,516,1
251,1,1,530,1
252,1,2,591,1
253,1,1,506,1
254,1,1,449,1
255,1,2,466,1
352,1,1,552,0
353,1,1,449,1
354,1,2,450,1
355,1,2,418,1
356,1,2,532,1
357,1,1,538,1
358,1,2,471,1
359,1,2,591,1
360,1,1,459,1
361,1,2,523,1
362,1,1,561,0
363,1,1,450,1
364,1,1,491,1
365,1,2,554,1
366,1,2,495,1
367,1,2,573,1
368,1,2,545,1
369,1,2,526,1
370,1,1,420,1
371,1,1,422,1
372,1,1,448,1
373,1,1,393,1
374,1,1,484,1
375,1,2,435,0
376,1,1,697,1
377,1,2,560,1
378,1,2,524,1
379,1,2,482,1
380,1,1,433,1
381,1,1,434,1
382,1,2,603,1
383,1,1,518,1
480,1,2,715,1
481,1,1,417,1
482,1,1,491,1
483,1,2,554,1
484,1,1,447,1
485,1,2,568,1
486,1,2,540,1
487,1,2,529,1
488,1,1,462,1
489,1,1,502,0
490,1,1,610,1
491,1,1,491,1
492,1,2,579,0
493,1,2,467,1
494,1,1,475,1
495,1,1,379,1
496,1,2,646,1
497,1,2,471,1
498,1,1,455,1
499,1,2,543,1
500,1,2,564,1
501,1,2,464,1
502,1,1,496,1
503,1,2,671,1
504,1,1,479,1
505,1,1,590,1
506,1,2,562,1
507,1,2,614,1
508,1,1,464,1
509,1,1,432,1
510,1,2,521,1
511,1,1,607,1
608,1,2,649,0
609,1,1,782,1
610,1,1,434,1
611,1,1,483,1
612,1,1,514,1
613,1,2,472,1
614,1,2,456,1
615,1,1,441,1
616,1,2,514,1
617,1,1,385,1
618,1,1,644,1
619,1,2,541,1
620,1,2,474,1
621,1,2,530,1
622,1,1,487,1
623,1,2,535,1
624,1,1,548,1
625,1,1,473,1
626,1,1,617,1
627,1,2,683,1
628,1,2,714,1
629,1,2,584,1
630,1,1,756,1
631,1,1,585,1
632,1,1,708,1
633,1,2,523,1
634,1,2,521,1
635,1,2,527,1
636,1,1,595,1
637,1,2,574,1
638,1,1,490,1
639,1,2,601,1
736,1,1,593,1
737,1,1,372,1
738,1,1,360,1
739,1,2,348,0
740,1,1,429,1
741,1,1,446,1
742,1,2,615,1
743,1,1,401,1
744,1,2,588,1
745,1,2,511,1
746,1,2,445,1
747,1,2,502,1
748,1,1,444,1
749,1,1,397,1
750,1,2,512,0
751,1,1,426,1
752,1,1,556,1
753,1,2,704,1
754,1,2,679,1
755,1,1,486,1
756,1,1,470,1
757,1,2,478,1
758,1,2,477,1
759,1,1,445,1
760,1,2,421,1
761,1,1,543,1
762,1,2,460,1
763,1,2,412,1
764,1,2,462,1
765,1,1,438,1
766,1,2,415,1
767,1,1,481,1
864,1,2,1016,1
865,1,2,570,1
866,1,2,494,1
867,1,2,525,1
868,1,2,547,1
869,1,2,488,1
870,1,2,463,1
871,1,1,407,1
872,1,1,514,1
873,1,1,480,1
874,1,1,447,1
875,1,2,464,1
876,1,1,488,1
877,1,2,599,1
878,1,1,458,1
879,1,1,475,1
880,1,2,627,0
881,1,1,633,1
882,1,2,498,1
883,1,2,457,1
884,1,2,665,1
885,1,2,425,1
886,1,1,699,1
887,1,1,498,1
888,1,1,569,1
889,1,2,612,1
890,1,1,462,1
891,1,2,718,1
892,1,1,572,1
893,1,1,912,1
894,1,1,502,1
895,1,1,525,1
1056,10,1,478,1
1057,10,2,341,1
1058,10,1,387,1
1059,10,1,334,1
1060,10,2,371,1
1061,10,2,383,0
1062,10,1,647,1
1063,10,1,344,1
1064,10,2,444,1
1065,10,1,357,1
1066,10,1,458,1
1067,10,1,401,1
1068,10,1,348,1
1069,10,2,441,1
1070,10,1,322,1
1071,10,2,496,1
1072,10,2,439,1
1073,10,1,424,1
1074,10,2,578,1
1075,10,2,389,1
1076,10,1,377,1
1077,10,1,356,1
1078,10,2,417,1
1079,10,1,387,1
1080,10,2,382,1
1081,10,2,321,1
1082,10,2,367,1
1083,10,2,411,1
1084,10,1,437,1
1085,10,2,519,1
1086,10,2,421,0
1087,10,1,347,1
1184,10,2,568,1
1185,10,1,380,1
1186,10,2,390,0
1187,10,2,478,0
1188,10,2,346,1
1189,10,2,422,1
1190,10,2,480,1
1191,10,1,448,1
1192,10,1,416,1
1193,10,1,362,1
1194,10,2,398,1
1195,10,1,393,1
1196,10,1,404,1
1197,10,2,438,1
1198,10,1,376,1
1199,10,1,420,1
1200,10,2,406,1
1201,10,2,360,1
1202,10,1,444,1
1203,10,1,396,1
1204,10,1,399,1
1205,10,2,418,1
1206,10,1,396,1
1207,10,2,438,1
1208,10,2,416,1
1209,10,2,410,1
1210,10,1,412,1
1211,10,2,406,1
1212,10,1,360,1
1213,10,2,452,1
1214,10,1,397,1
1215,10,1,368,1
1312,10,1,489,1
1313,10,1,344,1
1314,10,2,421,0
1315,10,2,403,1
1316,10,1,398,1
1317,10,2,449,1
1318,10,2,441,1
1319,10,1,339,1
1320,10,1,400,1
1321,10,1,347,1
1322,10,1,391,1
1323,10,2,355,0
1324,10,2,436,1
1325,10,1,413,1
1326,10,1,399,1
1327,10,1,402,1
1328,10,2,388,0
1329,10,2,436,1
1330,10,2,574,1
1331,10,2,434,1
1332,10,2,435,1
1333,10,1,348,1
1334,10,2,649,1
1335,10,2,354,1
1336,10,2,470,1
1337,10,2,398,1
1338,10,1,401,1
1339,10,1,620,1
1340,10,1,390,1
1341,10,1,345,1
1342,10,1,398,1
1343,10,2,400,1
1440,10,1,439,1
1441,10,1,408,1
1442,10,1,339,1
1443,10,1,336,1
1444,10,1,357,1
1445,10,2,530,1
1446,10,2,455,1
1447,10,1,400,1
1448,10,1,347,1
1449,10,2,359,1
1450,10,2,468,1
1451,10,2,356,1
1452,10,1,385,1
1453,10,1,348,1
1454,10,1,401,1
1455,10,1,347,1
1456,10,2,336,1
1457,10,1,397,1
1458,10,1,352,1
1459,10,2,692,1
1460,10,2,316,0
1461,10,2,406,1
1462,10,2,449,1
1463,10,2,426,1
1464,10,2,452,1
1465,10,2,340,1
1466,10,1,346,1
1467,10,2,630,1
1468,10,2,472,1
1469,10,2,480,1
1470,10,1,359,1
1471,10,1,403,1
1568,10,1,427,1
1569,10,2,509,1
1570,10,2,499,1
1571,10,1,418,1
1572,10,2,636,1
1573,10,1,358,1
1574,10,1,378,1
1575,10,2,414,1
1576,10,1,440,1
1577,10,2,377,1
1578,10,1,388,1
1579,10,1,352,1
1580,10,2,420,1
1581,10,1,382,1
1582,10,1,449,1
1583,10,1,386,1
1584,10,2,406,1
1585,10,2,528,1
1586,10,2,398,1
1587,10,2,456,1
1588,10,1,361,1
1589,10,1,405,1
1590,10,1,536,1
1591,10,1,469,1
1592,10,2,373,1
1593,10,2,737,1
1594,10,2,406,1
1595,10,1,384,1
1596,10,2,539,1
1597,10,2,409,1
1598,10,2,443,1
1599,10,1,396,1
1696,10,2,614,1
1697,10,1,456,1
1698,10,2,472,1
1699,10,1,433,1
1700,10,2,546,1
1701,10,2,455,1
1702,10,2,471,1
1703,10,1,407,1
1704,10,2,402,1
1705,10,1,421,1
1706,10,2,471,1
1707,10,2,415,1
1708,10,2,409,1
1709,10,2,514,1
1710,10,1,456,1
1711,10,1,417,1
1712,10,1,379,1
1713,10,1,406,1
1714,10,2,457,1
1715,10,1,410,1
1716,10,2,468,1
1717,10,1,396,1
1718,10,1,390,1
1719,10,2,442,1
1720,10,2,451,1
1721,10,1,380,1
1722,10,1,431,1
1723,10,2,680,1
1724,10,1,376,1
1725,10,1,403,1
1726,10,2,374,1
1727,10,1,330,1
1984,11,1,528,1
1985,11,1,381,1
1986,11,2,793,1
1987,11,2,411,1
1988,11,2,645,1
1989,11,2,534,1
1990,11,1,483,1
1991,11,2,387,1
1992,11,2,398,1
1993,11,1,545,1
1994,11,1,437,1
1995,11,1,447,1
1996,11,1,392,1
1997,11,1,395,1
1998,11,2,486,1
1999,11,2,373,1
2000,11,2,521,1
2001,11,1,543,1
2002,11,1,404,1
2003,11,1,334,1
2004,11,2,460,1
2005,11,1,356,1
2006,11,1,392,1
2007,11,1,292,1
2008,11,2,403,0
2009,11,2,490,1
2010,11,1,465,1
2011,11,2,377,1
2012,11,2,461,1
2013,11,2,589,1
2014,11,1,408,1
2015,11,2,395,1
2112,11,1,482,1
2113,11,2,490,0
2114,11,2,574,1
2115,11,1,722,1
2116,11,2,632,1
2117,11,1,569,1
2118,11,2,461,0
2119,11,2,698,1
2120,11,2,481,1
2121,11,1,496,1
2122,11,1,415,1
2123,11,2,409,1
2124,11,2,371,1
2125,11,2,479,0
2126,11,1,723,1
2127,11,1,593,1
2128,11,2,540,1
2129,11,1,401,1
2130,11,2,500,1
2131,11,1,491,1
2132,11,2,442,1
2133,11,1,419,1
2134,11,1,461,1
2135,11,1,445,1
2136,11,1,462,1
2137,11,1,389,1
2138,11,2,696,1
2139,11,1,415,1
2140,11,2,457,1
2141,11,1,362,1
2142,11,2,422,1
2143,11,2,584,1
2240,11,2,535,1
2241,11,2,636,1
2242,11,2,565,1
2243,11,1,505,1
2244,11,1,392,1
2245,11,1,531,1
2246,11,1,457,1
2247,11,1,361,1
2248,11,2,437,0
2249,11,2,555,1
2250,11,1,784,1
2251,11,2,458,1
2252,11,2,467,1
2253,11,1,395,1
2254,11,2,494,1
2255,11,1,429,1
2256,11,1,438,1
2257,11,2,535,1
2258,11,1,397,1
2259,11,1,407,1
2260,11,2,538,1
2261,11,1,431,1
2262,11,2,609,1
2263,11,2,499,1
2264,11,2,698,1
2265,11,2,393,1
2266,11,2,659,1
2267,11,1,388,1
2268,11,1,447,1
2269,11,2,552,1
2270,11,1,628,1
2271,11,1,374,1
2368,11,1,1058,1
2369,11,1,459,1
2370,11,1,547,1
2371,11,2,592,1
2372,11,1,612,1
2373,11,1,574,1
2374,11,2,466,1
2375,11,1,522,1
2376,11,2,632,1
2377,11,1,449,1
2378,11,2,426,1
2379,11,2,435,1
2380,11,2,525,1
2381,11,2,371,1
2382,11,1,415,1
2383,11,2,505,1
2384,11,1,383,1
2385,11,1,523,1
2386,11,2,449,0
2387,11,2,478,1
2388,11,1,413,1
2389,11,2,527,1
2390,11,1,461,1
2391,11,1,461,1
2392,11,2,677,1
2393,11,2,524,1
2394,11,2,522,1
2395,11,1,520,1
2396,11,2,678,1
2397,11,2,686,1
2398,11,1,501,1
2399,11,1,420,1
2496,11,1,478,1
2497,11,2,509,1
2498,11,1,380,1
2499,11,2,439,1
2500,11,2,424,1
2501,11,1,418,1
2502,11,2,612,1
2503,11,1,471,1
2504,11,1,391,1
2505,11,1,394,1
2506,11,2,629,1
2507,11,2,366,1
2508,11,1,394,1
2509,11,2,653,1
2510,11,2,372,1
2511,11,1,448,1
2512,11,1,625,1
2513,11,2,675,1
2514,11,2,395,0
2515,11,1,482,1
2516,11,1,482,1
2517,11,1,417,1
2518,11,2,531,1
2519,11,1,432,1
2520,11,1,570,1
2521,11,1,414,1
2522,11,2,408,1
2523,11,1,386,1
2524,11,2,558,1
2525,11,2,395,0
2526,11,2,474,1
2527,11,2,442,1
2624,11,2,452,0
2625,11,1,489,1
2626,11,1,632,1
2627,11,1,546,1
2628,11,1,366,1
2629,11,2,594,1
2630,11,1,413,1
2631,11,2,535,1
2632,11,1,749,1
2633,11,2,417,1
2634,11,2,395,0
2635,11,1,442,1
2636,11,1,427,1
2637,11,2,492,1
2638,11,2,755,1
2639,11,2,632,1
2640,11,1,409,1
2641,11,2,459,1
2642,11,1,515,1
2643,11,1,385,1
2644,11,2,741,1
2645,11,1,642,1
2646,11,2,428,1
2647,11,1,453,1
2648,11,2,454,1
2649,11,1,438,1
2650,11,2,392,1
2651,11,2,467,0
2652,11,1,472,1
2653,11,2,456,1
2654,11,1,400,1
2655,11,2,467,1
2816,12,2,593,1
2817,12,1,388,1
2818,12,2,327,0
2819,12,1,553,1
2820,12,2,406,1
2821,12,1,488,1
2822,12,2,448,1
2823,12,2,400,1
2824,12,1,403,1
2825,12,1,462,1
2826,12,1,438,1
2827,12,1,431,1
2828,12,2,432,1
2829,12,1,442,1
2830,12,2,547,1
2831,12,1,408,1
2832,12,2,394,1
2833,12,2,469,1
2834,12,2,420,1
2835,12,2,502,1
2836,12,1,453,1
2837,12,1,366,1
2838,12,2,457,0
2839,12,1,551,1
2840,12,2,387,1
2841,12,1,399,1
2842,12,2,425,1
2843,12,2,475,1
2844,12,2,499,1
2845,12,1,602,1
2846,12,1,421,1
2847,12,1,423,1
2944,12,2,533,1
2945,12,1,482,1
2946,12,1,426,1
2947,12,2,452,1
2948,12,1,436,1
2949,12,2,510,1
2950,12,1,444,1
2951,12,1,548,1
2952,12,1,417,1
2953,12,2,451,1
2954,12,1,396,1
2955,12,2,446,1
2956,12,2,543,1
2957,12,1,484,1
2958,12,2,451,1
2959,12,2,492,1
2960,12,2,531,1
2961,12,2,472,1
2962,12,2,600,1
2963,12,1,523,1
2964,12,1,409,1
2965,12,1,476,1
2966,12,1,452,1
2967,12,1,357,1
2968,12,1,393,1
2969,12,2,412,1
2970,12,2,486,1
2971,12,1,429,1
2972,12,1,431,1
2973,12,2,568,1
2974,12,2,468,1
2975,12,2,572,1
3072,12,1,489,1
3073,12,1,424,1
3074,12,2,530,1
3075,12,1,415,1
3076,12,2,481,1
3077,12,1,457,1
3078,12,1,442,1
3079,12,2,555,1
3080,12,2,392,1
3081,12,2,443,1
3082,12,2,540,1
3083,12,2,458,1
3084,12,2,498,1
3085,12,1,401,1
3086,12,1,420,1
3087,12,1,438,1
3088,12,2,455,1
3089,12,2,544,1
3090,12,1,364,1
3091,12,1,464,1
3092,12,1,400,1
3093,12,2,451,1
3094,12,2,460,1
3095,12,2,460,1
3096,12,1,387,1
3097,12,1,399,1
3098,12,1,377,1
3099,12,1,477,1
3100,12,1,484,1
3101,12,2,539,1
