TrialIndex,Subject,Congruence,ResponseTime,Correct
160,1,2,579,0
161,1,2,553,0
162,1,2,491,1
163,1,1,434,1
164,1,2,435,1
165,1,1,405,1
166,1,1,471,1
167,1,2,391,1
168,1,2,451,1
169,1,2,571,0
170,1,2,540,0
171,1,1,438,0
172,1,1,439,0
173,1,2,537,1
174,1,2,498,1
175,1,1,369,1
176,1,1,397,1
177,1,1,376,1
178,1,2,372,0
179,1,1,488,1
180,1,1,359,1
181,1,2,468,1
182,1,2,324,1
183,1,1,434,1
184,1,1,451,1
185,1,2,500,1
186,1,2,475,1
187,1,1,491,1
188,1,1,450,1
189,1,1,483,1
190,1,1,426,1
191,1,2,412,0
288,1,1,491,1
289,1,2,442,1
290,1,1,532,1
291,1,1,621,1
292,1,2,588,1
293,1,1,452,1
294,1,2,429,1
295,1,2,454,1
296,1,1,431,1
297,1,2,472,1
298,1,1,488,1
299,1,2,487,1
300,1,1,439,1
301,1,1,480,0
302,1,2,399,1
303,1,1,410,0
304,1,2,468,0
305,1,1,420,1
306,1,1,358,1
307,1,2,499,0
308,1,1,488,1
309,1,2,544,1
310,1,1,537,1
311,1,1,427,1
312,1,2,404,1
313,1,1,471,1
314,1,2,647,1
315,1,2,428,1
316,1,2,486,1
317,1,2,637,1
318,1,1,411,1
319,1,2,405,0
416,1,1,458,1
417,1,1,379,1
418,1,2,606,0
419,1,1,357,1
420,1,2,394,1
421,1,2,381,1
422,1,2,544,1
423,1,1,505,1
424,1,2,469,1
425,1,1,389,1
426,1,1,448,1
427,1,2,385,0
428,1,1,540,0
429,1,2,606,1
430,1,1,381,1
431,1,1,384,1
432,1,2,444,0
433,1,1,380,1
434,1,1,464,1
435,1,2,512,1
436,1,2,354,1
437,1,2,487,1
438,1,1,414,1
439,1,1,472,0
440,1,2,408,0
441,1,1,523,1
442,1,2,470,1
443,1,2,486,1
444,1,1,437,1
445,1,1,350,1
446,1,2,419,1
447,1,2,461,0
544,1,1,549,1
545,1,2,407,1
546,1,1,449,1
547,1,2,514,1
548,1,1,476,0
549,1,2,420,0
550,1,2,646,1
551,1,2,483,1
552,1,2,458,1
553,1,2,459,1
554,1,1,508,1
555,1,2,415,0
556,1,2,521,1
557,1,1,460,0
558,1,2,604,1
559,1,1,443,1
560,1,1,508,1
561,1,2,423,0
562,1,1,504,1
563,1,1,444,1
564,1,2,596,1
565,1,2,339,0
566,1,1,497,1
567,1,2,503,1
568,1,1,419,1
569,1,1,413,1
570,1,1,463,1
571,1,2,591,1
572,1,1,455,1
573,1,1,367,1
574,1,2,523,1
575,1,1,454,1
672,1,2,655,0
673,1,1,420,1
674,1,1,390,1
675,1,2,481,1
676,1,2,409,1
677,1,1,379,1
678,1,1,487,1
679,1,2,406,1
680,1,1,465,1
681,1,1,425,1
682,1,1,379,0
683,1,2,998,0
684,1,1,501,1
685,1,2,385,0
686,1,1,444,1
687,1,2,485,1
688,1,2,524,1
689,1,1,374,1
690,1,1,506,1
691,1,2,526,1
692,1,1,368,0
693,1,2,412,1
694,1,1,406,1
695,1,1,369,0
696,1,2,413,0
697,1,1,431,1
698,1,1,352,1
699,1,2,437,1
700,1,2,534,1
701,1,2,504,1
702,1,2,578,1
703,1,2,578,0
800,1,1,405,0
801,1,2,520,1
802,1,2,403,1
803,1,1,437,1
804,1,1,383,0
805,1,2,410,1
806,1,2,620,1
807,1,2,450,1
808,1,2,451,0
809,1,2,436,1
810,1,1,349,1
811,1,1,378,1
812,1,1,404,1
813,1,1,431,1
814,1,1,288,1
815,1,2,527,0
816,1,1,361,1
817,1,2,373,1
818,1,1,401,1
819,1,2,284,0
820,1,1,355,1
821,1,1,352,1
822,1,1,429,1
823,1,1,270,1
824,1,2,334,1
825,1,2,283,0
826,1,2,450,1
827,1,2,331,0
828,1,1,256,0
829,1,2,481,0
830,1,1,512,1
831,1,2,627,1
1120,10,2,383,1
1121,10,1,330,1
1122,10,2,296,0
1123,10,1,326,1
1124,10,1,388,1
1125,10,2,359,1
1126,10,1,380,1
1127,10,1,311,1
1128,10,1,333,1
1129,10,1,442,1
1130,10,1,243,1
1131,10,1,308,1
1132,10,2,355,1
1133,10,1,343,1
1134,10,1,300,1
1135,10,2,315,1
1136,10,2,425,0
1137,10,2,339,1
1138,10,2,456,1
1139,10,2,321,1
1140,10,2,423,1
1141,10,1,353,1
1142,10,2,373,1
1143,10,1,249,1
1144,10,2,354,1
1145,10,2,454,1
1146,10,2,591,1
1147,10,1,399,0
1148,10,1,346,1
1149,10,2,302,0
1150,10,1,308,1
1151,10,2,411,1
1248,10,2,296,0
1249,10,2,390,1
1250,10,2,402,1
1251,10,1,340,1
1252,10,2,314,1
1253,10,1,344,1
1254,10,1,300,1
1255,10,1,395,1
1256,10,1,310,1
1257,10,2,292,0
1258,10,1,331,1
1259,10,1,264,1
1260,10,1,360,1
1261,10,1,380,1
1262,10,2,271,1
1263,10,1,335,1
1264,10,2,781,1
1265,10,2,397,1
1266,10,1,263,1
1267,10,2,271,1
1268,10,1,335,1
1269,10,1,268,1
1270,10,2,299,0
1271,10,2,282,1
1272,10,2,401,1
1273,10,1,268,1
1274,10,1,252,1
1275,10,1,469,1
1276,10,2,253,0
1277,10,2,341,1
1278,10,2,315,0
1279,10,2,305,0
1376,10,1,204,0
1377,10,2,230,1
1378,10,2,255,0
1379,10,2,216,0
1380,10,1,498,1
1381,10,2,345,1
1382,10,1,381,1
1383,10,2,297,1
1384,10,1,343,1
1385,10,1,276,1
1386,10,2,252,1
1387,10,1,340,1
1388,10,1,314,1
1389,10,2,280,1
1390,10,1,262,0
1391,10,1,270,1
1392,10,2,342,1
1393,10,2,251,0
1394,10,1,340,1
1395,10,1,297,1
1396,10,2,296,1
1397,10,1,326,0
1398,10,1,372,1
1399,10,1,464,1
1400,10,2,392,0
1401,10,2,403,1
1402,10,1,302,1
1403,10,2,332,1
1404,10,2,442,1
1405,10,1,307,1
1406,10,2,338,1
1407,10,2,311,1
1504,10,2,242,0
1505,10,1,412,1
1506,10,1,382,1
1507,10,2,353,0
1508,10,1,342,1
