TrialIndex,Subject,Congruence,ResponseTime,Correct
192,1,2,617,1
193,1,1,539,1
194,1,1,504,1
195,1,1,519,1
196,1,1,389,1
197,1,1,336,1
198,1,2,581,1
199,1,1,480,1
200,1,1,352,1
201,1,2,628,1
202,1,1,398,1
203,1,2,384,1
204,1,1,444,1
205,1,2,604,1
206,1,2,495,1
207,1,2,510,1
208,1,1,428,1
209,1,2,453,1
210,1,2,438,1
211,1,2,471,1
212,1,2,479,1
213,1,2,486,1
214,1,1,358,1
215,1,2,450,1
216,1,1,459,0
217,1,1,400,1
218,1,1,411,1
219,1,1,373,1
220,1,2,417,0
221,1,1,391,1
222,1,2,387,1
223,1,2,446,1
320,1,1,383,1
321,1,1,370,1
322,1,1,398,1
323,1,1,425,1
324,1,2,419,0
325,1,1,553,1
326,1,2,566,1
327,1,1,346,1
328,1,2,518,1
329,1,2,508,1
330,1,2,467,1
331,1,2,403,1
332,1,1,494,0
333,1,2,465,1
334,1,2,497,1
335,1,2,424,1
336,1,1,554,1
337,1,1,407,0
338,1,1,646,1
339,1,2,502,1
340,1,2,485,1
341,1,1,388,1
342,1,2,504,1
343,1,2,494,1
344,1,2,508,1
345,1,1,547,1
346,1,1,488,1
347,1,1,559,1
348,1,2,499,1
349,1,2,474,1
350,1,1,418,1
351,1,1,460,1
448,1,1,622,1
449,1,1,400,1
450,1,2,611,1
451,1,2,500,1
452,1,1,698,1
453,1,1,577,1
454,1,1,437,1
455,1,2,470,1
456,1,1,526,1
457,1,2,507,1
458,1,2,442,1
459,1,1,571,1
460,1,2,471,1
461,1,1,623,1
462,1,1,593,1
463,1,1,460,1
464,1,2,540,1
465,1,1,594,1
466,1,2,492,1
467,1,2,396,1
468,1,2,438,1
469,1,2,536,1
470,1,2,525,1
471,1,1,499,0
472,1,2,478,1
473,1,2,494,1
474,1,2,492,1
475,1,2,412,1
476,1,1,534,1
477,1,1,483,1
478,1,1,370,1
479,1,1,382,1
576,1,1,458,1
577,1,2,475,1
578,1,2,539,1
579,1,1,344,0
580,1,1,369,1
581,1,1,493,1
582,1,2,388,0
583,1,1,452,1
584,1,1,452,1
585,1,2,485,1
586,1,2,436,0
587,1,1,418,1
588,1,1,420,1
589,1,1,422,1
590,1,2,384,1
591,1,1,340,1
592,1,2,577,1
593,1,2,540,1
594,1,1,482,1
595,1,2,673,1
596,1,2,577,1
597,1,1,708,1
598,1,2,586,1
599,1,2,566,1
600,1,2,690,1
601,1,1,673,1
602,1,2,817,1
603,1,2,539,1
604,1,1,529,1
605,1,1,526,1
606,1,1,507,1
607,1,2,562,1
704,1,2,535,1
705,1,2,444,1
706,1,1,453,1
707,1,1,437,1
708,1,2,543,1
709,1,1,484,0
710,1,2,471,1
711,1,2,519,1
712,1,2,445,1
713,1,1,446,1
714,1,1,431,1
715,1,2,432,1
716,1,1,609,0
717,1,1,456,1
718,1,2,497,1
719,1,1,591,1
720,1,2,563,1
721,1,1,543,1
722,1,2,492,1
723,1,1,467,1
724,1,1,403,1
725,1,2,438,1
726,1,2,471,1
727,1,1,631,1
728,1,1,480,1
729,1,2,552,1
730,1,1,644,1
731,1,2,645,1
732,1,1,502,0
733,1,2,425,1
734,1,1,443,1
735,1,2,684,1
832,1,1,451,1
833,1,2,467,1
834,1,2,411,1
835,1,2,365,1
836,1,1,601,1
837,1,2,516,1
838,1,1,426,1
839,1,1,484,1
840,1,2,707,1
841,1,1,506,1
842,1,1,360,1
843,1,2,476,1
844,1,1,556,1
845,1,2,544,1
846,1,2,461,1
847,1,2,517,1
848,1,2,619,1
849,1,2,629,1
850,1,2,447,1
851,1,2,510,1
852,1,1,516,1
853,1,1,538,1
854,1,1,392,1
855,1,1,371,1
856,1,1,503,1
857,1,2,502,1
858,1,2,468,1
859,1,1,477,1
860,1,1,476,1
861,1,2,387,0
862,1,1,419,1
863,1,1,445,1
1024,10,2,503,1
1025,10,1,342,1
1026,10,1,434,1
1027,10,2,308,0
1028,10,1,519,1
1029,10,2,461,1
1030,10,2,333,1
1031,10,1,562,1
1032,10,1,462,1
1033,10,1,310,1
1034,10,1,364,1
1035,10,1,384,1
1036,10,2,452,1
1037,10,2,652,1
1038,10,1,341,1
1039,10,1,354,1
1040,10,2,479,1
1041,10,2,462,1
1042,10,2,454,1
1043,10,1,447,1
1044,10,1,368,1
1045,10,1,532,1
1046,10,2,497,1
1047,10,2,408,1
1048,10,2,346,1
1049,10,1,431,1
1050,10,1,376,1
1051,10,1,316,1
1052,10,2,418,1
1053,10,2,388,1
1054,10,2,351,1
1055,10,2,468,1
1152,10,1,435,1
1153,10,1,364,1
1154,10,1,344,1
1155,10,2,389,0
1156,10,2,412,1
1157,10,2,438,1
1158,10,2,552,1
1159,10,1,348,0
1160,10,1,454,1
1161,10,1,470,1
1162,10,1,566,1
1163,10,2,426,1
1164,10,2,412,1
1165,10,1,310,0
1166,10,2,464,1
1167,10,2,416,1
1168,10,2,490,1
1169,10,2,418,1
1170,10,1,316,1
1171,10,2,386,1
1172,10,2,405,1
1173,10,1,424,1
1174,10,2,426,1
1175,10,1,420,1
1176,10,1,406,1
1177,10,2,448,1
1178,10,1,569,1
1179,10,2,333,1
1180,10,1,306,1
1181,10,2,441,1
1182,10,1,338,1
1183,10,1,384,1
1280,10,1,342,1
1281,10,2,347,1
1282,10,2,424,1
1283,10,1,354,1
1284,10,2,334,1
1285,10,2,340,1
1286,10,2,393,0
1287,10,2,440,1
1288,10,2,338,1
1289,10,2,471,1
1290,10,1,479,1
1291,10,1,454,1
1292,10,2,359,1
1293,10,2,356,1
1294,10,2,352,1
1295,10,2,541,1
1296,10,1,442,1
1297,10,1,364,1
1298,10,1,360,1
1299,10,1,403,1
1300,10,1,438,1
1301,10,2,520,1
1302,10,1,382,1
1303,10,1,433,1
1304,10,2,594,1
1305,10,1,421,1
1306,10,2,407,1
1307,10,1,418,1
1308,10,1,388,1
1309,10,2,415,1
1310,10,1,376,1
1311,10,1,499,1
1408,10,2,345,0
1409,10,2,370,1
1410,10,2,398,1
1411,10,2,385,1
1412,10,2,380,1
1413,10,2,375,1
1414,10,1,403,1
1415,10,1,518,1
1416,10,2,348,1
1417,10,1,489,1
1418,10,1,368,1
1419,10,2,468,1
1420,10,1,484,1
1421,10,1,331,1
1422,10,2,417,1
1423,10,2,387,1
1424,10,1,446,1
1425,10,1,319,1
1426,10,2,437,1
1427,10,1,390,1
1428,10,1,441,1
1429,10,1,339,1
1430,10,1,344,1
1431,10,1,397,0
1432,10,1,419,1
1433,10,2,405,1
1434,10,2,432,1
1435,10,2,417,1
1436,10,1,451,1
1437,10,1,364,1
1438,10,2,424,1
1439,10,2,362,1
1536,10,2,403,1
1537,10,2,350,1
1538,10,1,458,1
1539,10,1,443,1
1540,10,1,412,1
1541,10,1,478,1
1542,10,1,421,1
1543,10,2,431,1
1544,10,1,488,1
1545,10,1,400,1
1546,10,2,450,1
1547,10,2,403,1
1548,10,1,398,1
1549,10,2,368,1
1550,10,2,388,1
1551,10,1,488,1
1552,10,2,526,1
1553,10,2,435,1
1554,10,1,373,1
1555,10,1,433,1
1556,10,1,410,1
1557,10,2,420,1
1558,10,2,406,1
1559,10,2,385,1
1560,10,2,468,1
1561,10,1,348,1
1562,10,1,409,0
1563,10,2,488,1
1564,10,2,407,1
1565,10,1,442,1
1566,10,2,443,1
1567,10,1,492,1
1664,10,2,536,1
1665,10,1,429,1
1666,10,2,390,1
1667,10,2,466,1
1668,10,1,442,1
1669,10,1,371,1
1670,10,1,431,0
1671,10,2,348,1
1672,10,2,416,1
1673,10,1,466,1
1674,10,2,394,1
1675,10,1,397,1
1676,10,2,328,1
1677,10,2,421,1
1678,10,2,439,1
1679,10,2,376,1
1680,10,1,684,1
1681,10,2,475,1
1682,10,1,427,1
1683,10,1,397,1
1684,10,1,423,1
1685,10,1,393,1
1686,10,1,388,1
1687,10,1,431,1
1688,10,2,361,1
1689,10,2,405,1
1690,10,1,495,1
1691,10,2,390,0
1692,10,2,374,1
1693,10,2,450,1
1694,10,1,362,1
1695,10,1,510,1
2016,11,2,489,1
2017,11,2,457,1
2018,11,2,450,1
2019,11,2,362,1
2020,11,2,470,1
2021,11,1,454,1
2022,11,1,423,1
2023,11,1,448,1
2024,11,1,489,1
2025,11,1,408,1
2026,11,2,419,1
2027,11,2,477,1
2028,11,2,364,1
2029,11,2,392,1
2030,11,2,371,1
2031,11,2,463,1
2032,11,1,495,1
2033,11,1,510,1
2034,11,1,412,1
2035,11,1,350,1
2036,11,2,547,1
2037,11,1,327,1
2038,11,1,397,1
2039,11,1,447,1
2040,11,2,464,1
2041,11,1,312,1
2042,11,2,462,1
2043,11,2,382,1
2044,11,1,457,1
2045,11,1,402,1
2046,11,1,381,1
2047,11,2,576,1
2144,11,2,471,1
2145,11,2,439,1
2146,11,1,849,1
2147,11,2,465,1
2148,11,1,545,1
2149,11,2,486,1
2150,11,1,366,1
2151,11,2,466,1
2152,11,1,426,1
2153,11,2,692,1
2154,11,1,395,1
2155,11,2,510,1
2156,11,1,436,1
2157,11,1,389,1
2158,11,2,376,1
2159,11,1,436,1
2160,11,2,413,1
2161,11,2,543,1
2162,11,1,580,1
2163,11,1,399,1
2164,11,1,362,1
2165,11,2,446,1
2166,11,2,662,1
2167,11,1,463,1
2168,11,2,495,1
2169,11,2,381,0
2170,11,1,453,1
2171,11,1,470,1
2172,11,2,526,1
2173,11,2,452,1
2174,11,1,477,1
2175,11,1,404,1
2272,11,2,501,1
2273,11,2,459,1
2274,11,2,428,1
2275,11,1,589,1
2276,11,1,433,1
2277,11,1,506,1
2278,11,2,473,1
2279,11,1,545,1
2280,11,2,598,1
2281,11,1,520,1
2282,11,1,518,1
2283,11,2,516,1
2284,11,2,474,1
2285,11,1,722,1
2286,11,1,529,1
2287,11,2,526,1
2288,11,1,451,1
2289,11,1,524,1
2290,11,2,506,1
2291,11,1,736,1
2292,11,2,446,1
2293,11,1,422,1
2294,11,2,488,1
2295,11,2,528,1
2296,11,1,541,1
2297,11,2,667,1
2298,11,1,507,1
2299,11,1,537,1
2300,11,2,463,1
2301,11,2,455,1
2302,11,2,511,1
2303,11,1,461,1
2400,11,1,439,1
2401,11,2,616,1
2402,11,2,466,1
2403,11,2,442,1
2404,11,2,435,1
2405,11,1,484,1
2406,11,1,396,1
2407,11,1,414,1
2408,11,1,368,1
2409,11,2,556,1
2410,11,2,425,1
2411,11,2,419,1
2412,11,1,389,1
2413,11,2,480,1
2414,11,1,376,1
2415,11,2,475,1
2416,11,1,475,1
2417,11,2,411,1
2418,11,1,413,1
2419,11,2,479,1
2420,11,2,591,1
2421,11,2,690,1
2422,11,2,593,1
2423,11,1,532,1
2424,11,1,377,1
2425,11,1,493,1
2426,11,1,515,1
2427,11,1,841,1
2428,11,1,491,1
2429,11,2,466,1
2430,11,1,706,1
2431,11,2,513,1
2528,11,1,496,1
2529,11,2,479,1
2530,11,1,686,1
2531,11,2,429,1
2532,11,1,423,1
2533,11,2,457,1
2534,11,2,441,1
2535,11,1,579,1
2536,11,1,414,1
2537,11,1,368,1
2538,11,1,396,1
2539,11,2,391,1
2540,11,2,794,1
2541,11,1,437,1
2542,11,2,718,1
2543,11,1,460,1
2544,11,2,452,1
2545,11,2,469,1
2546,11,2,445,1
2547,11,2,430,1
2548,11,1,423,1
2549,11,2,448,1
2550,11,2,497,1
2551,11,2,472,1
2552,11,1,432,1
2553,11,1,737,1
2554,11,1,398,1
2555,11,1,401,1
2556,11,2,628,1
2557,11,2,389,1
2558,11,1,496,1
2559,11,1,447,1
2656,11,2,507,1
2657,11,2,490,1
2658,11,2,473,1
2659,11,1,569,1
2660,11,2,413,0
2661,11,1,627,1
2662,11,2,693,1
2663,11,1,571,1
2664,11,2,591,1
2665,11,1,515,1
2666,11,2,857,1
2667,11,1,658,1
2668,11,2,530,1
2669,11,2,664,1
2670,11,2,480,1
2671,11,1,535,1
2672,11,1,533,1
2673,11,2,602,1
2674,11,1,573,1
2675,11,1,489,1
2676,11,1,576,1
2677,11,2,588,1
2678,11,2,543,1
2679,11,2,548,1
2680,11,2,496,1
2681,11,2,583,1
2682,11,1,634,1
2683,11,1,548,1
2684,11,1,545,1
2685,11,1,485,1
2686,11,1,597,1
2687,11,1,767,1
2848,12,2,502,1
2849,12,2,381,1
2850,12,2,416,1
2851,12,1,506,1
2852,12,1,417,1
2853,12,2,531,1
2854,12,1,408,1
2855,12,1,699,1
2856,12,1,409,1
2857,12,1,379,1
2858,12,1,391,1
2859,12,1,402,1
2860,12,1,405,1
2861,12,2,463,1
2862,12,2,431,1
2863,12,2,401,1
2864,12,1,363,1
2865,12,1,391,1
2866,12,1,467,1
2867,12,1,419,1
2868,12,2,493,1
2869,12,2,468,1
2870,12,2,476,1
2871,12,1,388,1
2872,12,2,495,1
2873,12,1,422,1
2874,12,2,464,1
2875,12,2,536,1
2876,12,2,469,1
2877,12,1,526,1
2878,12,2,452,1
2879,12,2,380,1
2976,12,1,515,1
2977,12,2,473,1
2978,12,1,449,1
2979,12,2,434,1
2980,12,1,451,1
2981,12,1,460,1
2982,12,2,468,1
2983,12,2,500,1
2984,12,1,467,1
2985,12,1,355,1
2986,12,2,488,1
2987,12,1,439,1
2988,12,2,464,1
2989,12,2,488,1
2990,12,1,424,1
2991,12,1,417,1
2992,12,1,443,1
2993,12,2,579,1
2994,12,2,559,1
2995,12,1,427,1
2996,12,1,437,1
2997,12,2,494,1
2998,12,2,365,1
2999,12,2,481,1
3000,12,2,464,1
3001,12,2,456,1
3002,12,2,401,1
3003,12,1,451,1
3004,12,1,364,1
3005,12,1,384,1
3006,12,1,403,1
3007,12,2,502,1
3104,12,2,558,1
3105,12,1,394,1
