TrialIndex,Subject,Congruence,ResponseTime,Correct
128,1,1,451,1
129,1,2,524,1
130,1,2,399,0
131,1,2,553,1
132,1,2,426,0
133,1,1,628,1
134,1,1,378,1
135,1,1,381,1
136,1,1,360,1
137,1,2,372,0
138,1,2,440,1
139,1,2,418,1
140,1,2,396,1
141,1,2,454,0
142,1,1,439,1
143,1,1,520,1
144,1,2,435,1
145,1,1,412,1
146,1,2,374,0
147,1,1,562,1
148,1,1,363,1
149,1,2,511,1
150,1,2,537,1
151,1,1,515,1
152,1,2,454,1
153,1,1,502,1
154,1,1,482,1
155,1,2,441,1
156,1,2,314,1
157,1,1,432,1
158,1,1,346,1
159,1,1,278,1
256,1,1,373,1
257,1,2,281,0
258,1,2,409,0
259,1,2,507,1
260,1,1,583,1
261,1,2,526,1
262,1,2,472,1
263,1,2,352,0
264,1,1,413,0
265,1,2,383,1
266,1,1,330,1
267,1,1,384,1
268,1,2,347,0
269,1,2,544,1
270,1,1,337,1
271,1,1,326,1
272,1,2,452,1
273,1,2,412,1
274,1,1,470,1
275,1,1,398,1
276,1,2,592,1
277,1,1,448,0
278,1,1,336,1
279,1,2,486,1
280,1,1,461,0
281,1,1,573,1
282,1,2,518,1
283,1,2,504,1
284,1,1,411,0
285,1,1,501,1
286,1,1,473,1
287,1,2,441,1
384,1,1,380,1
385,1,1,383,1
386,1,2,507,1
387,1,2,438,1
388,1,2,439,1
389,1,1,377,1
390,1,2,292,0
391,1,2,363,0
392,1,1,503,0
393,1,1,330,0
394,1,2,424,1
395,1,2,498,1
396,1,2,408,1
397,1,2,451,1
398,1,1,460,0
399,1,1,356,0
400,1,1,432,0
401,1,2,410,1
402,1,1,364,1
403,1,1,472,1
404,1,2,536,1
405,1,2,378,0
406,1,1,373,0
407,1,2,385,1
408,1,2,452,1
409,1,1,517,1
410,1,2,440,1
411,1,1,545,1
412,1,2,458,1
413,1,1,571,1
414,1,1,467,1
415,1,1,411,1
512,1,2,431,1
513,1,2,408,1
514,1,1,467,1
515,1,2,435,1
516,1,1,580,1
517,1,1,388,1
518,1,1,335,1
519,1,1,405,1
520,1,1,359,1
521,1,2,308,0
522,1,1,427,1
523,1,2,508,0
524,1,2,479,1
525,1,2,431,1
526,1,2,448,1
527,1,2,497,1
528,1,1,534,1
529,1,1,400,1
530,1,1,443,0
531,1,1,412,1
532,1,1,494,1
533,1,1,588,1
534,1,2,412,0
535,1,2,462,1
536,1,2,382,0
537,1,1,393,1
538,1,2,436,0
539,1,1,493,1
540,1,1,468,1
541,1,2,388,0
542,1,2,488,1
543,1,2,455,1
640,1,1,552,0
641,1,2,442,1
642,1,2,451,1
643,1,2,419,1
644,1,1,430,0
645,1,1,551,1
646,1,2,400,1
647,1,2,283,1
648,1,1,514,1
649,1,1,365,0
650,1,1,577,1
651,1,2,320,0
652,1,2,502,1
653,1,1,466,1
654,1,1,354,1
655,1,2,470,1
656,1,1,390,0
657,1,2,362,1
658,1,2,414,1
659,1,1,672,1
